timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
860972000,860972000,1310988,0.004261058,-0.002130529,0.0015978967,13.194519,0,1
861972000,861972000,1310988,0.00479369,-0.0053263223,0.0058589545,13.19455,0,1
862972000,862972000,1310988,0.0015978967,-0.0010652645,0.0005326322,13.19455,0,1
863972000,863972000,1310988,-0.00479369,-0.010652645,0.0058589545,13.194458,0,1
864972000,864972000,1310988,-0.0005326322,-0.0063915867,-0.00479369,13.194366,0,1
865972000,865972000,1310988,-0.0037284256,-0.0026631611,-0.0005326322,13.194489,0,1
866972000,866972000,1310988,0.0015978967,-0.0031957934,-0.0010652645,13.194672,0,1
867972000,867972000,1310988,0.008522116,0.0031957934,0.0031957934,13.194824,0,1
868972000,868972000,1310988,0.0063915867,-0.0005326322,0.0026631611,13.195068,0,1
869972000,869972000,1310988,0.0010652645,-0.0037284256,0.007456851,13.195374,0,1
870972000,870972000,1310988,0.007456851,-0.0005326322,0.0026631611,13.195618,0,1
871972000,871972000,1310988,0.0005326322,-0.009054748,-0.0037284256,13.195679,0,1
872972000,872972000,1310988,-0.0005326322,0.007456851,0.0026631611,13.195953,0,1
873972000,873972000,1310988,0.0026631611,0.0005326322,-0.0026631611,13.1961975,0,1
874972000,874972000,1310988,-0.002130529,-0.0031957934,0.010652645,13.196228,0,1
875972000,875972000,1310988,0.00479369,-0.0053263223,-0.0031957934,13.1961975,0,1
876972000,876972000,1310988,-0.9235843,0.018642128,-0.05912218,13.1961975,0,1
877972000,877972000,1310988,-0.09161274,0.28708878,-0.48363006,13.197968,0,1
878972000,878972000,1310988,0.14753912,0.30200246,-0.33609092,13.200317,0,1
879972000,879972000,1310988,0.1917476,0.10439592,-0.28708878,13.199493,0,1
880972000,880972000,1310988,0.18216023,0.051665325,-0.18535602,13.198364,0,1
881972000,881972000,1310988,0.11717909,-0.008522116,-0.044208474,13.196838,0,1
882972000,882972000,1310988,0.053263225,-0.0037284256,-0.032490566,13.196381,0,1
883972000,883972000,1310988,0.025566347,0.0,0.03834952,13.196259,0,1
884972000,884972000,1310988,0.0005326322,-0.01438107,0.0063915867,13.195984,0,1
885972000,885972000,1310988,0.0037284256,-0.0015978967,0.026631612,13.195984,0,1
886972000,886972000,1310988,-0.20932446,0.18855181,-0.3206446,13.196625,0,1
887972000,887972000,1310988,0.06178534,0.3323625,-0.44687843,13.199585,0,1
888972000,888972000,1310988,0.1949434,0.13954964,-0.24714136,13.199493,0,1
889972000,889972000,1310988,0.17470337,0.07243799,-0.25246766,13.198425,0,1
890972000,890972000,1310988,0.14327806,0.00479369,-0.058056913,13.196991,0,1
891972000,891972000,1310988,0.07456851,-0.0031957934,-0.053795855,13.196075,0,1
892972000,892972000,1310988,0.028229509,0.0053263223,0.028229509,13.195862,0,1
893972000,893972000,1310988,0.0053263223,-0.0015978967,0.011185277,13.195801,0,1
894972000,894972000,1310988,-0.0010652645,0.0026631611,0.021837922,13.195923,0,1
895972000,895972000,1310988,-0.007989483,0.002130529,0.011185277,13.19577,0,1
896972000,896972000,1310988,-0.0053263223,0.0,0.0058589545,13.195618,0,1
897972000,897972000,1310988,-0.0037284256,0.0010652645,0.010652645,13.195526,0,1
898972000,898972000,1310988,0.0010652645,0.0005326322,-0.0053263223,13.195435,0,1
899972000,899972000,1310988,0.007456851,0.0063915867,0.0005326322,13.195374,0,1
900972000,900972000,1310988,-0.0053263223,-0.0063915867,-0.0031957934,13.195282,0,1
901972000,901972000,1310988,-0.0037284256,0.00479369,-0.002130529,13.19519,0,1
902972000,902972000,1310988,0.0015978967,0.004261058,0.0010652645,13.195129,0,1
903972000,903972000,1310988,-0.002130529,-0.00958738,-0.0010652645,13.195007,0,1
904972000,904972000,1310988,0.0026631611,-0.0015978967,0.0005326322,13.194977,0,1
905972000,905972000,1310988,-0.0005326322,0.0010652645,-0.0010652645,13.194916,0,1
906972000,906972000,1310988,0.0010652645,0.0,0.0031957934,13.194946,0,1
907972000,907972000,1310988,0.0037284256,-0.006924219,0.0031957934,13.194855,0,1
908972000,908972000,1310988,0.0026631611,0.0037284256,0.0031957934,13.194794,0,1
909972000,909972000,1310988,0.0010652645,-0.0026631611,0.0058589545,13.194702,0,1
910972000,910972000,1310988,-0.0010652645,-0.00479369,0.0015978967,13.194519,0,1
911972000,911972000,1310988,-0.0005326322,0.011185277,0.0037284256,13.194458,0,1
912972000,912972000,1310988,-0.002130529,-0.0058589545,-0.0037284256,13.194397,0,1
913972000,913972000,1310988,0.0037284256,0.00479369,0.0026631611,13.194397,0,1
914972000,914972000,1310988,-0.00479369,0.0015978967,0.007456851,13.194366,0,1
915972000,915972000,1310988,-0.0005326322,-0.0037284256,0.0,13.194458,0,1
916972000,916972000,1310988,0.0010652645,0.0010652645,-0.0031957934,13.194702,0,1
917972000,917972000,1310988,-0.0015978967,0.0026631611,0.007456851,13.195038,0,1
918972000,918972000,1310988,0.0010652645,0.013315806,-0.0015978967,13.195221,0,1
919972000,919972000,1310988,-0.004261058,0.004261058,-0.0005326322,13.195435,0,1
920972000,920972000,1310988,0.0015978967,-0.0031957934,-0.010652645,13.195709,0,1
921972000,921972000,1310988,0.0026631611,-0.0005326322,-0.004261058,13.195892,0,1
922972000,922972000,1310988,0.0031957934,0.008522116,-0.004261058,13.195984,0,1
923972000,923972000,1310988,-0.004261058,0.006924219,-0.0010652645,13.195923,0,1
924972000,924972000,1310988,0.002130529,-0.0005326322,0.004261058,13.195862,0,1
925972000,925972000,1310988,-0.0031957934,-0.0015978967,-0.002130529,13.195801,0,1
926972000,926972000,1310988,0.0026631611,0.0053263223,0.004261058,13.195709,0,1
927972000,927972000,1310988,0.0015978967,0.008522116,0.0053263223,13.195526,0,1
928972000,928972000,1310988,0.0010652645,-0.0058589545,-0.0058589545,13.195435,0,1
929972000,929972000,1310988,0.007456851,0.0010652645,-0.0005326322,13.195526,0,1
930972000,930972000,1310988,0.0010652645,-0.002130529,0.0010652645,13.195465,0,1
931972000,931972000,1310988,-0.0031957934,0.004261058,-0.0015978967,13.195557,0,1
932972000,932972000,1310988,-0.0026631611,0.009054748,0.002130529,13.195618,0,1
933972000,933972000,1310988,0.0,-0.0053263223,-0.0015978967,13.195648,0,1
934972000,934972000,1310988,-0.002130529,-0.008522116,-0.0015978967,13.195648,0,1
935972000,935972000,1310988,-0.002130529,0.0037284256,-0.0015978967,13.195801,0,1
936972000,936972000,1310988,-0.0031957934,0.006924219,-0.0031957934,13.195862,0,1
937972000,937972000,1310988,-0.0058589545,-0.0063915867,0.002130529,13.195953,0,1
938972000,938972000,1310988,0.004261058,-0.010120012,-0.0005326322,13.196167,0,1
939972000,939972000,1310988,0.0026631611,-0.0031957934,0.0026631611,13.196381,0,1
940972000,940972000,1310988,0.010120012,-0.0010652645,0.0031957934,13.196411,0,1
